conference_acronym	conference_name	conference_location
ICCMA 2017	2017 The 5th International conference on Control, Mechatronics and Automation (ICCMA 2017)--Ei Compendex and Scopus	Alberta, Edmonton, Canada
ICMAM 2017	2017 4th International Conference on Mechatronics, Automation and Manufacturing (ICMAM 2017)--EI Compendex, Scopus	Phuket, Thailand
MIKE 2017	Mining Intelligence and Knowledge Exploration, The Fifth International Conference	Hyderabad, India
ICCBB 2017	2017 International Conference on Computational Biology and Bioinformatics (ICCBB 2017)--Ei Compendex, Scopus and CPCI	New Jersey, USA
IS 2017	International Conference â€œInteractive Systems: Problems of Human-Computer Interactionâ€�	Ulyanovsk, Russia
MECN 2017	3rd International Conference on Mechanical Engineering	Dubai, UAE
SoDeLIA 2017	Special Session on Deep Learning and Its Applications	Brunei
WAAISC 2017	1st Workshop on Applications of Artificial Intelligence in Smart Cities	Boston, MA
ICTCC 2017	3rd International Conference on NaTure of Computation and Communication	Tam Ky City, Vietnam
ICCASA 2017	6th EAI International Conference on Context-Aware Systems and Applications	Tam Ky City, Vietnam
IES 2017	The 21st Asia Pacific Symposium on Intelligent and Evolutionary Systems (IES 2017)	Hanoi, Vietnam
ACML 2017	The 9th Asian Conference on Machine Learning	Seoul, South Korea
ICIIP 2017	6th International Conference on Intelligent Information Processing(ICIIP 2017)	London, UK
AIC 2017	5th International Workshop on Artificial Intelligence and Cognition	Larnaca, Cyprus
ICICT 2017	CFP - The IEEE International Conference ICICT at India, Due: 4 Aug 2017	India
ICPET 2017	International Conference on Promising Electronic Technologies 2017	Deir El-Balah, Palestine
FICC 2018	The FICC 2018 at Singapore, Paper Submission Due: August 1st 2017	Singapore
RA 2017	The 18th IASTED International Conference on Robotics and Applications	Cambridge, Massachusetts, USA
IEEE Bigcomp 2018	2018 IEEE International Conference on Big Data and Smart Computing	Shanghai, China
ICSR 2017	The 9th International Conference on Social Robotics	Tsukuba, Japan
ICAART 2018	10th International Conference on Agents and Artificial Intelligence	Funchal, Madeira, Portugal
ICPRAM 2018	7th International Conference on Pattern Recognition Applications and Methods	Funchal, Madeira, Portugal
LAWCN 2017	Latin-American Workshop on Computational Neuroscience	Porto Alegre, RS, Brazil
SafeThings 2017	ACM Workshop on the Internet of Safe Things	Delft, The Netherlands
K-CAP 2017	The Ninth International Conference on Knowledge Capture	Austin, Texas, USA
WOMoCoE 2017	2nd International Workshop on Ontology Modularity, Contextuality, and Evolution	Vienna, Austria
ISWC 2017	ISWC 2017 : 16th International Semantic Web Conference (poster and demo session)	Vienna, Austria
ICOAS 2017	2017 2nd International Conference on Automation Sciences (ICOAS 2017)--EI Compendex, Scopus	Phnom Penh, Cambodia
GCAI 2017	The 3rd Global Conference on Artificial Intelligence (GCAI 2017), Miami, USA, 18-22 October 2017	Miami, Florida, USA
ICBEB 2017	2017 International Conference on Biomedical Engineering and Bioinformatics (ICBEB 2017)--CPCI, Ei Compendex and Scopus	Bangkok, Thailand
ICIBB 2017	2017 International Conference on Innovations in Biometrics and Biostatistics (ICIBB 2017)--CPCI, Ei Compendex and Scopus	Bangkok, Thailand
ICRCA 2017	2017 The 2nd International Conference on Robotics, Control and Automation (ICRCA 2017)--Ei Compendex and Scopus	Kitakyushu, Japan
CAIIT 2017	2017 International Conference on Artificial Intelligence and Information Technology (CAIIT 2017)--Ei&Scopus	Hong Kong
MIG 2017	ACM SIGGRAPH Conference on Motion in Games	Barcelona, Spain
Algorithmic-News 2018	ALGORITHMS, AUTOMATION, AND NEWS: CAPABILITIES, CASES, AND CONSEQUENCES	Munich, Germany
SPIE-ICRMV 2017	2017 The 2nd International Conference on Robotics and Machine Vision (ICRMV 2017)--Ei Compendex and Scopus	Kitakyushu, Japan
DT 2017	Deduktionstreffen 2017	TU Dortmund, Germany
CISC 2017	1st Workshop on Computational Intelligence & Soft Computing	Portland, Oregon, USA
MIWAI 2017	The 11th Multi-disciplinary International Workshop on Artificial Intelligence	Brunei
DEAs 2017	Data Enabled Applications 2017	Universiti Teknologi Brunei
Robot 2017	Third Iberian Robotics Conference	Seville
CSI 2017	Computer Society Of Iran	Shiraz
